fonte: 11, destino: 86, peso: 1
fonte: 12, destino: 3, peso: 1
fonte: 24, destino: 15, peso: 1
fonte: 28, destino: 42, peso: 1
fonte: 32, destino: 90, peso: 1
fonte: 33, destino: 31, peso: 1
fonte: 38, destino: 53, peso: 1
fonte: 43, destino: 5, peso: 1
fonte: 52, destino: 30, peso: 1
fonte: 57, destino: 19, peso: 1
fonte: 58, destino: 70, peso: 1
fonte: 60, destino: 49, peso: 1
fonte: 60, destino: 91, peso: 1
fonte: 61, destino: 17, peso: 1
fonte: 63, destino: 16, peso: 1
fonte: 65, destino: 2, peso: 1
fonte: 65, destino: 78, peso: 1
fonte: 72, destino: 47, peso: 1
fonte: 79, destino: 21, peso: 1
fonte: 79, destino: 31, peso: 1
fonte: 87, destino: 75, peso: 1
fonte: 87, destino: 1, peso: 1
fonte: 89, destino: 21, peso: 1
fonte: 93, destino: 28, peso: 1
fonte: 95, destino: 61, peso: 1
fonte: 97, destino: 55, peso: 1
fonte: 100, destino: 50, peso: 1
fonte: 1, destino: 3, peso: 2
fonte: 10, destino: 94, peso: 2
fonte: 18, destino: 20, peso: 2
fonte: 21, destino: 56, peso: 2
fonte: 25, destino: 32, peso: 2
fonte: 26, destino: 58, peso: 2
fonte: 33, destino: 98, peso: 2
fonte: 42, destino: 88, peso: 2
fonte: 47, destino: 48, peso: 2
fonte: 49, destino: 55, peso: 2
fonte: 51, destino: 21, peso: 2
fonte: 62, destino: 75, peso: 2
fonte: 69, destino: 11, peso: 2
fonte: 70, destino: 68, peso: 2
fonte: 72, destino: 97, peso: 2
fonte: 74, destino: 64, peso: 2
fonte: 76, destino: 42, peso: 2
fonte: 78, destino: 39, peso: 2
fonte: 92, destino: 61, peso: 2
fonte: 95, destino: 68, peso: 2
fonte: 3, destino: 43, peso: 3
fonte: 7, destino: 41, peso: 3
fonte: 14, destino: 61, peso: 3
fonte: 17, destino: 87, peso: 3
fonte: 19, destino: 64, peso: 3
fonte: 28, destino: 73, peso: 3
fonte: 34, destino: 2, peso: 3
fonte: 35, destino: 21, peso: 3
fonte: 36, destino: 57, peso: 3
fonte: 44, destino: 75, peso: 3
fonte: 48, destino: 19, peso: 3
fonte: 59, destino: 66, peso: 3
fonte: 62, destino: 12, peso: 3
fonte: 63, destino: 33, peso: 3
fonte: 65, destino: 87, peso: 3
fonte: 66, destino: 46, peso: 3
fonte: 74, destino: 43, peso: 3
fonte: 83, destino: 56, peso: 3
fonte: 83, destino: 86, peso: 3
fonte: 84, destino: 71, peso: 3
fonte: 84, destino: 66, peso: 3
fonte: 100, destino: 97, peso: 3
fonte: 3, destino: 49, peso: 4
fonte: 3, destino: 20, peso: 4
fonte: 4, destino: 37, peso: 4
fonte: 5, destino: 77, peso: 4
fonte: 6, destino: 23, peso: 4
fonte: 8, destino: 96, peso: 4
fonte: 13, destino: 96, peso: 4
fonte: 19, destino: 23, peso: 4
fonte: 25, destino: 87, peso: 4
fonte: 30, destino: 17, peso: 4
fonte: 34, destino: 10, peso: 4
fonte: 36, destino: 95, peso: 4
fonte: 40, destino: 66, peso: 4
fonte: 41, destino: 10, peso: 4
fonte: 45, destino: 18, peso: 4
fonte: 48, destino: 26, peso: 4
fonte: 53, destino: 56, peso: 4
fonte: 56, destino: 8, peso: 4
fonte: 73, destino: 56, peso: 4
fonte: 73, destino: 33, peso: 4
fonte: 81, destino: 43, peso: 4
fonte: 86, destino: 55, peso: 4
fonte: 90, destino: 5, peso: 4
fonte: 93, destino: 49, peso: 4
fonte: 94, destino: 24, peso: 4
fonte: 96, destino: 94, peso: 4
fonte: 97, destino: 32, peso: 4
fonte: 97, destino: 69, peso: 4
fonte: 1, destino: 57, peso: 5
fonte: 12, destino: 45, peso: 5
fonte: 18, destino: 27, peso: 5
fonte: 33, destino: 33, peso: 5
fonte: 35, destino: 18, peso: 5
fonte: 39, destino: 22, peso: 5
fonte: 48, destino: 17, peso: 5
fonte: 53, destino: 65, peso: 5
fonte: 55, destino: 70, peso: 5
fonte: 61, destino: 94, peso: 5
fonte: 64, destino: 57, peso: 5
fonte: 67, destino: 40, peso: 5
fonte: 76, destino: 67, peso: 5
fonte: 77, destino: 72, peso: 5
fonte: 77, destino: 63, peso: 5
fonte: 78, destino: 2, peso: 5
fonte: 83, destino: 23, peso: 5
fonte: 85, destino: 2, peso: 5
fonte: 94, destino: 74, peso: 5
fonte: 99, destino: 54, peso: 5
fonte: 2, destino: 4, peso: 6
fonte: 10, destino: 63, peso: 6
fonte: 13, destino: 97, peso: 6
fonte: 15, destino: 4, peso: 6
fonte: 15, destino: 84, peso: 6
fonte: 20, destino: 12, peso: 6
fonte: 22, destino: 4, peso: 6
fonte: 23, destino: 10, peso: 6
fonte: 24, destino: 54, peso: 6
fonte: 26, destino: 66, peso: 6
fonte: 27, destino: 31, peso: 6
fonte: 29, destino: 83, peso: 6
fonte: 29, destino: 42, peso: 6
fonte: 31, destino: 27, peso: 6
fonte: 39, destino: 34, peso: 6
fonte: 40, destino: 53, peso: 6
fonte: 41, destino: 96, peso: 6
fonte: 53, destino: 19, peso: 6
fonte: 57, destino: 47, peso: 6
fonte: 66, destino: 35, peso: 6
fonte: 68, destino: 86, peso: 6
fonte: 68, destino: 60, peso: 6
fonte: 70, destino: 81, peso: 6
fonte: 71, destino: 34, peso: 6
fonte: 71, destino: 76, peso: 6
fonte: 75, destino: 74, peso: 6
fonte: 77, destino: 13, peso: 6
fonte: 86, destino: 31, peso: 6
fonte: 89, destino: 17, peso: 6
fonte: 98, destino: 36, peso: 6
fonte: 100, destino: 86, peso: 6
fonte: 2, destino: 76, peso: 7
fonte: 2, destino: 45, peso: 7
fonte: 5, destino: 48, peso: 7
fonte: 6, destino: 93, peso: 7
fonte: 6, destino: 29, peso: 7
fonte: 9, destino: 18, peso: 7
fonte: 14, destino: 58, peso: 7
fonte: 16, destino: 12, peso: 7
fonte: 29, destino: 49, peso: 7
fonte: 38, destino: 91, peso: 7
fonte: 39, destino: 99, peso: 7
fonte: 42, destino: 32, peso: 7
fonte: 46, destino: 24, peso: 7
fonte: 47, destino: 22, peso: 7
fonte: 55, destino: 21, peso: 7
fonte: 61, destino: 82, peso: 7
fonte: 69, destino: 75, peso: 7
fonte: 78, destino: 33, peso: 7
fonte: 80, destino: 29, peso: 7
fonte: 82, destino: 98, peso: 7
fonte: 82, destino: 53, peso: 7
fonte: 92, destino: 71, peso: 7
fonte: 8, destino: 41, peso: 8
fonte: 11, destino: 35, peso: 8
fonte: 14, destino: 73, peso: 8
fonte: 16, destino: 57, peso: 8
fonte: 17, destino: 43, peso: 8
fonte: 23, destino: 43, peso: 8
fonte: 27, destino: 5, peso: 8
fonte: 28, destino: 51, peso: 8
fonte: 30, destino: 59, peso: 8
fonte: 37, destino: 58, peso: 8
fonte: 44, destino: 11, peso: 8
fonte: 46, destino: 70, peso: 8
fonte: 49, destino: 34, peso: 8
fonte: 50, destino: 77, peso: 8
fonte: 56, destino: 79, peso: 8
fonte: 63, destino: 28, peso: 8
fonte: 64, destino: 25, peso: 8
fonte: 67, destino: 98, peso: 8
fonte: 73, destino: 11, peso: 8
fonte: 76, destino: 6, peso: 8
fonte: 80, destino: 61, peso: 8
fonte: 86, destino: 53, peso: 8
fonte: 89, destino: 49, peso: 8
fonte: 96, destino: 48, peso: 8
fonte: 98, destino: 34, peso: 8
fonte: 1, destino: 42, peso: 9
fonte: 4, destino: 26, peso: 9
fonte: 7, destino: 7, peso: 9
fonte: 11, destino: 57, peso: 9
fonte: 16, destino: 39, peso: 9
fonte: 21, destino: 9, peso: 9
fonte: 31, destino: 23, peso: 9
fonte: 43, destino: 80, peso: 9
fonte: 44, destino: 56, peso: 9
fonte: 50, destino: 81, peso: 9
fonte: 52, destino: 24, peso: 9
fonte: 58, destino: 33, peso: 9
fonte: 60, destino: 67, peso: 9
fonte: 75, destino: 83, peso: 9
fonte: 81, destino: 50, peso: 9
fonte: 87, destino: 88, peso: 9
fonte: 88, destino: 18, peso: 9
fonte: 90, destino: 14, peso: 9
fonte: 91, destino: 57, peso: 9
fonte: 94, destino: 38, peso: 9
fonte: 99, destino: 12, peso: 9
fonte: 9, destino: 74, peso: 10
fonte: 15, destino: 51, peso: 10
fonte: 20, destino: 56, peso: 10
fonte: 21, destino: 67, peso: 10
fonte: 22, destino: 54, peso: 10
fonte: 22, destino: 12, peso: 10
fonte: 25, destino: 46, peso: 10
fonte: 32, destino: 98, peso: 10
fonte: 34, destino: 58, peso: 10
fonte: 37, destino: 40, peso: 10
fonte: 42, destino: 2, peso: 10
fonte: 45, destino: 37, peso: 10
fonte: 51, destino: 39, peso: 10
fonte: 54, destino: 34, peso: 10
fonte: 54, destino: 18, peso: 10
fonte: 57, destino: 56, peso: 10
fonte: 58, destino: 6, peso: 10
fonte: 59, destino: 74, peso: 10
fonte: 67, destino: 85, peso: 10
fonte: 70, destino: 100, peso: 10
fonte: 74, destino: 21, peso: 10
fonte: 82, destino: 2, peso: 10
fonte: 84, destino: 68, peso: 10
fonte: 85, destino: 16, peso: 10
fonte: 88, destino: 83, peso: 10
fonte: 90, destino: 45, peso: 10
fonte: 91, destino: 20, peso: 10
fonte: 91, destino: 58, peso: 10
